branch,branch_to,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,event_name,id,recurrence,trade_good,type
Naples,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,82791.34,1260.78,florin,1390-01-15,Due from Geneva,84052.12,Branch settlement transfer from Naples to Geneva,,66,,,branch_activity
Milan,,Cloth Merchant,Loans Receivable,Interest Income,18403.07,4048.68,florin,1390-01-16,Cash,22451.75,Loan repayment from Cloth Merchant with interest,,67,,,loan_repayment
Pisa,,Levant Spice Traders,Cash,,98956.40,,florin,1390-01-16,Loans Receivable,98956.40,Commercial loan issued to Levant Spice Traders,,68,,,loan_issuance
Bruges,,Santa Maria Scribes,Cash,,2260.55,,florin,1390-01-16,Maintenance,2260.55,Maintenance expense for Bruges branch (quarterly cycle),,69,quarterly,,recurring_operating_expense
Milan,,Doge of Venice,Cash,,59587.70,,florin,1390-01-16,Loans Receivable,59587.70,Commercial loan issued to Doge of Venice,,70,,,loan_issuance
Bruges,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,5639.22,85.88,florin,1390-01-16,Due from Geneva,5725.10,Branch settlement transfer from Bruges to Geneva,,71,,,branch_activity
Bruges,,Florentine Paperworks,Cash,,18458.56,,florin,1390-01-16,Courier Services,18458.56,Courier Services expense for Bruges branch (weekly cycle),,72,weekly,,recurring_operating_expense
Geneva,,Lombard Metals Exchange,Loans Receivable,Interest Income,57251.63,5725.16,florin,1390-01-16,Cash,62976.79,Loan repayment from Lombard Metals Exchange including interest,,73,,,loan_repayment
Venice,,Lombard Metals Exchange,Loans Receivable,Interest Income,43230.64,3458.45,florin,1390-01-17,Cash,46689.09,Loan repayment from Lombard Metals Exchange including interest,,74,,,loan_repayment
Rome,,Lombard Metals Exchange,Trading Revenue,,35467.80,,florin,1390-01-17,Cash,35467.80,Trade finance settlement for alum cargo,,75,,alum,trade_transaction
Avignon,,Republic of Florence,Loans Receivable,Interest Income,207833.20,16626.66,florin,1390-01-17,Cash,224459.86,Loan repayment from Republic of Florence including interest,,76,,,loan_repayment
Milan,,Lombard Metals Exchange,Cash,,948471.35,,florin,1390-01-17,Loans Receivable,948471.35,Commercial loan issued to Lombard Metals Exchange,,77,,,loan_issuance
Naples,London,Inter-branch transfer to London,Cash,Exchange Fee Revenue,3462.90,52.73,florin,1390-01-17,Due from London,3515.63,Branch settlement transfer from Naples to London,,78,,,branch_activity
Avignon,,Mediterranean Shipping Company,Loans Receivable,Interest Income,21829.05,2619.49,florin,1390-01-18,Cash,24448.54,Loan repayment from Mediterranean Shipping Company including interest,,79,,,loan_repayment
London,,Silk Consortium,Cash,,26938.95,,florin,1390-01-18,Loans Receivable,26938.95,Commercial loan issued to Silk Consortium,,80,,,loan_issuance
Naples,,Signoria Utilities Office,Cash,,689.23,,florin,1390-01-18,Supplies,689.23,Supplies expense for Naples branch (monthly cycle),,81,monthly,,recurring_operating_expense
Bruges,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,15088.15,229.77,florin,1390-01-18,Due from Rome,15317.92,Branch settlement transfer from Bruges to Rome,,82,,,branch_activity
Florence,,City Magistrates,Cash,,8999.62,,florin,1390-01-19,Political Receivable,8999.62,Funds advanced for Cosimo de' Medici exile logistics and correspondence,Cosimo Exile Logistics,83,,,political_event
Rome,,Holy See,Deposits Payable,,242861.19,,florin,1390-01-19,Cash,242861.19,Deposit from Holy See to Rome branch,,84,,,deposit
London,,Guildhall Security Company,Cash,,11900.34,,florin,1390-01-19,Accounts Payable,11900.34,Vendor payment to Guildhall Security Company for branch services,,85,,,vendor_payment
Milan,,Silk Consortium,Trading Revenue,,11153.15,,florin,1390-01-19,Cash,11153.15,Trade finance settlement for wool cargo,,86,,wool,trade_transaction
Pisa,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,162752.95,2478.47,florin,1390-01-19,Due from Bruges,165231.42,Branch settlement transfer from Pisa to Bruges,,87,,,branch_activity
London,,Lombard Metals Exchange,Trading Revenue,,10043.28,,florin,1390-01-19,Cash,10043.28,Trade finance settlement for spices cargo,,88,,spices,trade_transaction
London,,Florentine Paperworks,Cash,,19994.38,,florin,1390-01-20,Wages,19994.38,Wages expense for London branch (monthly cycle),,89,monthly,,recurring_operating_expense
Florence,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,122998.72,1873.08,florin,1390-01-20,Due from Venice,124871.80,Branch settlement transfer from Florence to Venice,,90,,,branch_activity
London,,Arno Lamp Oil Merchants,Cash,,142.51,,florin,1390-01-20,Supplies,142.51,Supplies expense for London branch (monthly cycle),,91,monthly,,recurring_operating_expense
Avignon,,Santa Maria Scribes,Cash,,1942.00,,florin,1390-01-20,Courier Services,1942.00,Courier Services expense for Avignon branch (weekly cycle),,92,weekly,,recurring_operating_expense
Milan,,Tuscan Wine Carriers,Cash,,199737.18,,florin,1390-01-21,Loans Receivable,199737.18,Commercial loan issued to Tuscan Wine Carriers,,93,,,loan_issuance
Naples,,Tuscan Wine Carriers,Trading Revenue,,8577.17,,florin,1390-01-21,Cash,8577.17,Trade finance settlement for dyestuffs cargo,,94,,dyestuffs,trade_transaction
Geneva,,Santa Maria Scribes,Cash,,2651.33,,florin,1390-01-21,Accounts Payable,2651.33,Vendor payment to Santa Maria Scribes for branch services,,95,,,vendor_payment
Florence,,Republic of Florence,Cash,,158126.34,,florin,1390-01-22,Loans Receivable - Government,158126.34,Loan to Venice for Lombardy Wars operations,,96,,,war_financing
London,,Signoria Utilities Office,Cash,,1436.89,,florin,1390-01-22,Supplies,1436.89,Supplies expense for London branch (monthly cycle),,97,monthly,,recurring_operating_expense
Bruges,,Count of Urbino,Cash,,26771.61,,florin,1390-01-22,Loans Receivable,26771.61,Commercial loan issued to Count of Urbino,,98,,,loan_issuance
Rome,,Banking House,Trading Revenue,,34519.40,,florin,1390-01-23,Cash,34519.40,Alum sale from papal mines,,99,,,alum_trade
London,,Cloth Merchant,Cash,,1463.45,,florin,1390-01-23,Deposits Payable,1463.45,Withdrawal by Cloth Merchant,,100,,,withdrawal
Pisa,,Marquis of Mantua,Cash,,797182.25,,florin,1390-01-23,Loans Receivable,797182.25,Commercial loan issued to Marquis of Mantua,,101,,,loan_issuance
Pisa,,Tuscan Wine Carriers,Trading Revenue,,71768.34,,florin,1390-01-23,Cash,71768.34,Trade finance settlement for spices cargo,,102,,spices,trade_transaction
Avignon,London,Inter-branch transfer to London,Cash,Exchange Fee Revenue,16684.95,254.09,florin,1390-01-23,Due from London,16939.04,Branch settlement transfer from Avignon to London,,103,,,branch_activity
Florence,,Florentine Paperworks,Cash,,1320.99,,florin,1390-01-23,Courier Services,1320.99,Courier Services expense for Florence branch (weekly cycle),,104,weekly,,recurring_operating_expense
Geneva,,Geneva Operations,Cash,,254.03,,florin,1390-01-24,Wages,254.03,Wages expense for Geneva branch,,105,,,operating_expense
Milan,,Kingdom of Naples,Cash,,57749.76,,florin,1390-01-24,Loans Receivable,57749.76,Commercial loan issued to Kingdom of Naples,,106,,,loan_issuance
Florence,,Santa Maria Scribes,Cash,,1303.17,,florin,1390-01-24,Wages,1303.17,Wages expense for Florence branch (monthly cycle),,107,monthly,,recurring_operating_expense
Pisa,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,17342.25,264.10,florin,1390-01-24,Due from Venice,17606.35,Branch settlement transfer from Pisa to Venice,,108,,,branch_activity
Rome,,Guildhall Security Company,Cash,,567.88,,florin,1390-01-24,Accounts Payable,567.88,Vendor payment to Guildhall Security Company for branch services,,109,,,vendor_payment
London,,Mercato Maintenance Works,Cash,,14466.07,,florin,1390-01-24,Rent,14466.07,Rent expense for London branch (monthly cycle),,110,monthly,,recurring_operating_expense
Florence,,Spice Merchant,Cash,,388418.23,,florin,1390-01-25,Loans Receivable,388418.23,Loan issued to Spice Merchant from Florence branch,,111,,,loan_issuance
Florence,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,77593.06,1181.62,florin,1390-01-25,Due from Naples,78774.68,Branch settlement transfer from Florence to Naples,,112,,,branch_activity
Venice,Pisa,Inter-branch transfer to Pisa,Cash,Exchange Fee Revenue,1579.97,24.06,florin,1390-01-25,Due from Pisa,1604.03,Branch settlement transfer from Venice to Pisa,,113,,,branch_activity
Florence,Milan,Inter-branch transfer to Milan,Cash,Exchange Fee Revenue,8412.10,128.10,florin,1390-01-25,Due from Milan,8540.20,Branch settlement transfer from Florence to Milan,,114,,,branch_activity
Florence,,Doge of Venice,Loans Receivable,Interest Income,30843.22,5551.78,florin,1390-01-25,Cash,36395.00,Loan repayment from Doge of Venice including interest,,115,,,loan_repayment
Rome,,Santa Maria Scribes,Cash,,20972.07,,florin,1390-01-25,Security,20972.07,Security expense for Rome branch (monthly cycle),,116,monthly,,recurring_operating_expense
Rome,,Vatican Treasury,Deposits Payable,,19083.92,,florin,1390-01-26,Cash,19083.92,Deposit from Vatican Treasury to Rome branch,,117,,,deposit
Bruges,,Ponte Vecchio Rent Office,Cash,,619.46,,florin,1390-01-26,Rent,619.46,Rent expense for Bruges branch (monthly cycle),,118,monthly,,recurring_operating_expense
Florence,,Venetian Grain Brokers,Loans Receivable,Interest Income,50684.72,11150.64,florin,1390-01-26,Cash,61835.36,Loan repayment from Venetian Grain Brokers including interest,,119,,,loan_repayment
London,,Kingdom of Naples,Cash,,12750.73,,florin,1390-01-26,Loans Receivable,12750.73,Commercial loan issued to Kingdom of Naples,,120,,,loan_issuance
Geneva,,Cloth Merchant,Cash,,2373.94,,florin,1390-01-27,Loans Receivable,2373.94,Loan issued to Cloth Merchant from Geneva branch,,121,,,loan_issuance
Florence,,Republic of Florence,Cash,,3988489.26,,florin,1390-01-27,Loans Receivable - Government,3988489.26,Loan to Venice for Lombardy Wars operations,,122,,,war_financing
Bruges,Avignon,Inter-branch transfer to Avignon,Cash,Exchange Fee Revenue,6064.32,92.35,florin,1390-01-27,Due from Avignon,6156.67,Branch settlement transfer from Bruges to Avignon,,123,,,branch_activity
London,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,17313.43,263.66,florin,1390-01-27,Due from Bruges,17577.09,Branch settlement transfer from London to Bruges,,124,,,branch_activity
Rome,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,15068.68,229.47,florin,1390-01-27,Due from Venice,15298.15,Branch settlement transfer from Rome to Venice,,125,,,branch_activity
Rome,,Flemish Cloth House,Trading Revenue,,15049.58,,florin,1390-01-27,Cash,15049.58,Trade finance settlement for wine cargo,,126,,wine,trade_transaction
Florence,,Wool Guild Syndicate,Trading Revenue,,5601.31,,florin,1390-01-27,Cash,5601.31,Trade finance settlement for wine cargo,,127,,wine,trade_transaction
London,,Kingdom of Naples,Cash,,241979.22,,florin,1390-01-28,Loans Receivable,241979.22,Commercial loan issued to Kingdom of Naples,,128,,,loan_issuance
Florence,,Doge of Venice,Loans Receivable,Interest Income,31378.80,2510.30,florin,1390-01-28,Cash,33889.10,Loan repayment from Doge of Venice including interest,,129,,,loan_repayment
Geneva,,Transfer to Rome,Cash,Exchange Fee Revenue,9318.67,103.65,florin,1390-01-29,Due from Rome,9422.32,Bill of exchange from Geneva to Rome,,130,,,bill_of_exchange
Milan,,Florentine Paperworks,Cash,,1681.81,,florin,1390-01-29,Maintenance,1681.81,Maintenance expense for Milan branch (quarterly cycle),,131,quarterly,,recurring_operating_expense
Geneva,,Levant Spice Traders,Trading Revenue,,8215.40,,florin,1390-01-29,Cash,8215.40,Trade finance settlement for wine cargo,,132,,wine,trade_transaction
Florence,,Arno Lamp Oil Merchants,Cash,,7204.14,,florin,1390-01-29,Accounts Payable,7204.14,Vendor payment to Arno Lamp Oil Merchants for branch services,,133,,,vendor_payment
Florence,,Armor Smith,Trading Revenue,,174847.54,,florin,1390-01-30,Cash,174847.54,Alum sale from papal mines,,134,,,alum_trade
Rome,,Sacred College,Deposits Payable,,2239584.59,,florin,1390-01-30,Cash,2239584.59,Deposit from Sacred College to Rome branch,,135,,,deposit
Geneva,,Jewel Trader,Cash,,354920.93,,florin,1390-01-30,Deposits Payable,354920.93,Withdrawal by Jewel Trader,,136,,,withdrawal
London,,Signoria Utilities Office,Cash,,5951.26,,florin,1390-01-30,Accounts Payable,5951.26,Vendor payment to Signoria Utilities Office for branch services,,137,,,vendor_payment
Milan,,Kingdom of Naples,Loans Receivable,Interest Income,169133.55,25370.03,florin,1390-01-30,Cash,194503.58,Loan repayment from Kingdom of Naples including interest,,138,,,loan_repayment
London,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,26071.04,397.02,florin,1390-01-30,Due from Venice,26468.06,Branch settlement transfer from London to Venice,,139,,,branch_activity
Geneva,,Kingdom of Naples,Cash,,19346.73,,florin,1390-01-30,Loans Receivable,19346.73,Commercial loan issued to Kingdom of Naples,,140,,,loan_issuance
Florence,,Republic of Florence,Cash,,63242.63,,florin,1390-01-31,Loans Receivable - Government,63242.63,Emergency war financing for Florence defense,,141,,,war_financing
Pisa,Florence,Inter-branch transfer to Florence,Cash,Exchange Fee Revenue,13824.58,210.53,florin,1390-01-31,Due from Florence,14035.11,Branch settlement transfer from Pisa to Florence,,142,,,branch_activity
Florence,,Lombard Metals Exchange,Trading Revenue,,21492.56,,florin,1390-01-31,Cash,21492.56,Trade finance settlement for grain cargo,,143,,grain,trade_transaction
Milan,,Arno Lamp Oil Merchants,Cash,,30917.95,,florin,1390-01-31,Accounts Payable,30917.95,Vendor payment to Arno Lamp Oil Merchants for branch services,,144,,,vendor_payment
Naples,,Ponte Vecchio Rent Office,Cash,,6739.64,,florin,1390-02-01,Accounts Payable,6739.64,Vendor payment to Ponte Vecchio Rent Office for branch services,,145,,,vendor_payment
Rome,,Mediterranean Shipping Company,Trading Revenue,,39532.04,,florin,1390-02-01,Cash,39532.04,Trade finance settlement for grain cargo,,146,,grain,trade_transaction
Florence,,Doge of Venice,Cash,,302438.32,,florin,1390-02-01,Loans Receivable,302438.32,Commercial loan issued to Doge of Venice,,147,,,loan_issuance
Venice,,Silk Consortium,Trading Revenue,,20010.45,,florin,1390-02-01,Cash,20010.45,Trade finance settlement for silk cargo,,148,,silk,trade_transaction
Rome,,Republic of Florence,Loans Receivable,Interest Income,121019.83,9681.59,florin,1390-02-02,Cash,130701.42,Loan repayment from Republic of Florence including interest,,149,,,loan_repayment
London,,Tuscan Wine Carriers,Loans Receivable,Interest Income,148416.64,22262.50,florin,1390-02-02,Cash,170679.14,Loan repayment from Tuscan Wine Carriers including interest,,150,,,loan_repayment
Milan,,Arno Lamp Oil Merchants,Cash,,12485.00,,florin,1390-02-02,Accounts Payable,12485.00,Vendor payment to Arno Lamp Oil Merchants for branch services,,151,,,vendor_payment
Milan,,Flemish Cloth House,Trading Revenue,,6102.10,,florin,1390-02-02,Cash,6102.10,Trade finance settlement for alum cargo,,152,,alum,trade_transaction
Rome,,Transfer to Avignon,Cash,Exchange Fee Revenue,131146.16,1956.61,florin,1390-02-03,Due from Avignon,133102.77,Bill of exchange from Rome to Avignon,,153,,,bill_of_exchange
London,,Mediterranean Shipping Company,Trading Revenue,,35540.25,,florin,1390-02-03,Cash,35540.25,Trade finance settlement for spices cargo,,154,,spices,trade_transaction
Pisa,,Arno Lamp Oil Merchants,Cash,,6747.67,,florin,1390-02-03,Accounts Payable,6747.67,Vendor payment to Arno Lamp Oil Merchants for branch services,,155,,,vendor_payment
Avignon,,Transfer to Bruges,Cash,Exchange Fee Revenue,710.20,10.30,florin,1390-02-04,Due from Bruges,720.50,Bill of exchange from Avignon to Bruges,,156,,,bill_of_exchange
Bruges,,Grain Merchant,Cash,,56702.64,,florin,1390-02-04,Loans Receivable,56702.64,Loan issued to Grain Merchant from Bruges branch,,157,,,loan_issuance
Florence,,Republic of Florence,Cash,,2638323.13,,florin,1390-02-04,Loans Receivable - Government,2638323.13,Emergency war financing for Florence defense,,158,,,war_financing
Florence,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,16630.75,253.26,florin,1390-02-04,Due from Venice,16884.01,Branch settlement transfer from Florence to Venice,,159,,,branch_activity
Bruges,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,2156.81,32.84,florin,1390-02-04,Due from Geneva,2189.65,Branch settlement transfer from Bruges to Geneva,,160,,,branch_activity
Florence,,Republic of Florence,Cash,,338322.95,,florin,1390-02-05,Loans Receivable - Government,338322.95,Loan to Venice for Lombardy Wars operations,,161,,,war_financing
Geneva,,Wool Merchant,Cash,,8034.16,,florin,1390-02-05,Loans Receivable,8034.16,Loan issued to Wool Merchant from Geneva branch,,162,,,loan_issuance
