branch,period,transaction_count,cash_inflows,cash_outflows,net_cash_movement,closing_cash_balance,deposits,withdrawals,loans_issued,loans_repaid,loan_portfolio_balance,interest_earned,operating_expenses,trading_revenue,exchange_fee_revenue,interest_income,total_revenue,net_income,expense_ratio
Avignon,1390-11,12,106360.92,495045.80,-388684.88,-2249036.54,0.00,0.00,116596.75,0.00,1585326.68,0.00,45745.02,106360.92,2940.99,0.00,109902.94,64157.92,0.4162
Avignon,1390-12,10,0.00,640028.58,-640028.58,-2889065.12,0.00,112884.66,289224.79,0.00,1874551.47,0.00,14253.88,0.00,2939.95,0.00,3449.81,-10804.07,4.1318
Avignon,1391-01,9,342941.68,335856.29,7085.39,-2881979.73,3853.25,0.00,566.49,295736.95,1579381.01,43351.48,0.00,0.00,4274.47,43351.48,48792.82,48792.82,0.0000
Avignon,1391-02,13,97628.39,219774.64,-122146.25,-3004125.98,0.00,0.00,150108.99,45483.32,1684006.68,5570.55,26976.29,46574.52,541.90,5570.55,53042.10,26065.81,0.5086
Avignon,1391-03,17,373375.23,429434.25,-56059.02,-3060185.00,0.00,0.00,365055.80,234463.84,1814598.64,40982.53,5736.55,97928.86,125.08,40982.53,139054.97,133318.42,0.0413
Avignon,1391-04,10,0.00,37266.12,-37266.12,-3097451.12,0.00,0.00,0.00,0.00,1814598.64,0.00,9821.75,0.00,0.00,0.00,298.87,-9522.88,32.8630
Avignon,1391-05,9,37854.36,230505.49,-192651.13,-3290102.25,4897.53,13911.35,56445.62,30515.58,1840528.68,2441.25,4558.79,0.00,0.00,2441.25,4770.15,211.36,0.9557
Avignon,1391-06,15,247978.25,94447.16,153531.09,-3136571.16,0.00,23188.04,36192.70,79498.90,1797222.48,17683.58,2539.60,150795.77,397.16,17683.58,169137.04,166597.44,0.0150
Avignon,1391-07,18,481058.23,390480.67,90577.56,-3045993.60,0.00,0.00,149938.22,196891.66,1750269.04,22522.64,3836.16,261643.93,0.00,22522.64,286989.00,283152.84,0.0134
Avignon,1391-08,10,167499.70,466231.50,-298731.80,-3344725.40,0.00,0.00,295150.36,146379.04,1899040.36,16887.85,0.00,4232.81,3252.76,16887.85,24373.42,24373.42,0.0000
Avignon,1391-09,16,1156446.27,72315.00,1084131.27,-2260594.13,668531.57,0.00,0.00,342304.21,1556736.15,53722.58,12399.96,91887.91,0.00,53722.58,146449.80,134049.84,0.0847
Avignon,1391-10,13,194172.44,107992.04,86180.40,-2174413.73,59461.11,0.00,45531.44,119420.03,1482847.56,15291.30,1238.10,0.00,0.00,15291.30,15707.95,14469.85,0.0788
Avignon,1391-11,11,117256.61,120584.90,-3328.29,-2177742.02,0.00,2253.28,69498.84,0.00,1552346.40,0.00,30258.54,117256.61,0.00,0.00,117449.65,87191.11,0.2576
Avignon,1391-12,12,95770.32,42917.05,52853.27,-2124888.75,0.00,0.00,0.00,39813.07,1512533.33,4012.35,18589.48,51944.90,0.00,4012.35,56322.16,37732.68,0.3301
Avignon,1392-01,16,419909.90,1744313.86,-1324403.96,-3449292.71,11935.72,0.00,1665088.03,345429.84,2832191.52,62544.34,3351.45,0.00,0.00,62544.34,63089.38,59737.93,0.0531
Avignon,1392-02,7,57166.33,306446.76,-249280.43,-3698573.14,0.00,0.00,254228.76,27435.78,3058984.50,3292.29,0.00,26438.26,0.00,3292.29,30513.82,30513.82,0.0000
Avignon,1392-03,13,744004.83,137040.23,606964.60,-3091608.54,0.00,0.00,56818.95,645428.92,2470374.53,98575.91,2127.76,0.00,0.00,98575.91,99298.66,97170.90,0.0214
Avignon,1392-04,16,449819.34,378701.19,71118.15,-3020490.39,296622.87,55107.44,214.46,22117.13,2448471.86,2141.68,11673.80,128937.66,0.00,2141.68,135694.50,124020.70,0.0860
Avignon,1392-05,14,172377.00,914746.42,-742369.42,-3762859.81,0.00,0.00,829778.89,44651.83,3233598.92,6200.83,17784.11,121524.34,0.00,6200.83,128732.92,110948.81,0.1381
Avignon,1392-06,11,331202.35,1030867.24,-699664.89,-4462524.70,0.00,0.00,1006844.70,249055.22,3991388.40,24332.80,312.68,57814.33,0.00,24332.80,82403.81,82091.13,0.0038
Avignon,1392-07,8,48328.01,364847.07,-316519.06,-4779043.76,0.00,0.00,322057.36,33080.54,4280365.22,4631.28,0.00,10616.19,332.00,4631.28,15579.47,15579.47,0.0000
Avignon,1392-08,8,127862.39,309933.64,-182071.25,-4961115.01,1403.97,0.00,282581.42,109963.84,4452982.80,16494.58,27352.22,0.00,0.00,16494.58,16494.58,-10857.64,1.6583
Avignon,1392-09,9,396575.67,368543.54,28032.13,-4933082.88,360057.27,0.00,168137.92,0.00,4621120.72,0.00,0.00,36518.40,0.00,0.00,39524.49,39524.49,0.0000
Avignon,1392-10,10,135461.96,309118.72,-173656.76,-5106739.64,0.00,0.00,268875.86,116860.51,4773136.07,18222.48,1211.08,378.97,0.00,18222.48,19186.92,17975.84,0.0631
Avignon,1392-11,12,144395.10,227838.14,-83443.04,-5190182.68,0.00,0.00,45476.12,44822.28,4773789.91,7710.31,17768.06,91862.51,0.00,7710.31,102041.73,84273.67,0.1741
Avignon,1392-12,13,6699.14,475749.70,-469050.56,-5659233.24,0.00,139806.86,252433.19,5582.62,5020640.48,1116.52,36604.30,0.00,598.72,1116.52,2021.12,-34583.18,18.1109
Avignon,1393-01,20,488253.06,1663194.25,-1174941.19,-6834174.43,0.00,0.00,1237476.37,400315.04,5857801.81,52339.21,4456.17,35598.81,2458.10,52339.21,93968.29,89512.12,0.0474
Avignon,1393-02,7,93648.61,545845.79,-452197.18,-7286371.61,0.00,0.00,415738.64,23704.00,6249836.45,5214.88,66.97,64729.73,0.00,5214.88,71895.21,71828.24,0.0009
Avignon,1393-03,15,221735.44,213970.82,7764.62,-7278606.99,0.00,0.00,58745.73,93052.64,6215529.54,9253.02,16401.20,119429.78,2391.65,9253.02,131307.26,114906.06,0.1249
Avignon,1393-04,13,91971.83,1007302.85,-915331.02,-8193938.01,0.00,0.00,968371.09,55653.77,7128246.86,4452.30,1107.61,31865.76,0.00,4452.30,36706.07,35598.46,0.0302
Avignon,1393-05,9,28882.96,237768.25,-208885.29,-8402823.30,0.00,896.21,0.00,0.00,7128246.86,0.00,2611.31,28882.96,0.00,0.00,32396.86,29785.55,0.0806
Avignon,1393-06,14,156368.31,247896.98,-91528.67,-8494351.97,0.00,0.00,200671.95,72844.42,7256074.39,9878.78,4945.64,73645.11,0.00,9878.78,83982.30,79036.66,0.0589
Avignon,1393-07,16,283656.23,1010607.23,-726951.00,-9221302.97,0.00,0.00,926905.93,247263.64,7935716.68,36392.59,16209.59,0.00,0.00,36392.59,37304.36,21094.77,0.4345
Avignon,1393-08,12,172300.03,246838.60,-74538.57,-9295841.54,0.00,0.00,0.00,147881.76,7787834.92,21389.25,2962.22,3029.02,2483.95,21389.25,27363.13,24400.91,0.1083
Avignon,1393-09,12,64192.01,445000.82,-380808.81,-9676650.35,0.00,100555.03,197130.42,19571.46,7965393.88,1651.07,125.05,42969.48,0.00,1651.07,46828.41,46703.36,0.0027
Avignon,1393-10,13,152491.61,1218892.73,-1066401.12,-10743051.47,0.00,0.00,1198838.55,124352.32,9039880.11,17505.76,1897.60,10633.53,104.30,17505.76,28323.19,26425.59,0.0670
Avignon,1393-11,18,1145327.34,497697.19,647630.15,-10095421.32,834.52,0.00,422667.34,875651.98,8586895.47,144893.10,484.41,123947.74,0.00,144893.10,269959.02,269474.61,0.0018
Avignon,1393-12,17,258739.18,115824.91,142914.27,-9952507.05,0.00,0.00,0.00,121283.19,8465612.28,17972.13,3854.52,119483.86,0.00,17972.13,138480.58,134626.06,0.0278
Avignon,1394-01,11,362664.46,1225441.85,-862777.39,-10815284.44,277318.86,0.00,1194571.32,40417.18,9619766.42,8891.78,5974.27,36036.64,0.00,8891.78,45301.87,39327.60,0.1319
Avignon,1394-02,9,847478.35,149434.33,698044.02,-10117240.42,707220.09,11490.92,107088.68,64690.30,9662164.80,6469.03,1106.59,69098.93,0.00,6469.03,75781.67,74675.08,0.0146
Avignon,1394-03,7,167636.71,72968.87,94667.84,-10022572.58,0.00,0.00,16730.60,0.00,9678895.40,0.00,5812.29,167636.71,0.00,0.00,168237.77,162425.48,0.0345
Avignon,1394-04,10,127852.63,882921.72,-755069.09,-10777641.67,0.00,736817.02,116314.62,13159.83,9782050.19,1315.98,1728.70,113376.82,0.00,1315.98,114992.78,113264.08,0.0150
Avignon,1394-05,13,47670.84,268560.87,-220890.03,-10998531.70,0.00,0.00,157511.10,41315.76,9898245.53,4957.89,12619.46,1397.19,0.00,4957.89,6750.23,-5869.23,1.8695
Avignon,1394-06,10,29889.84,726671.57,-696781.73,-11695313.43,0.00,5864.46,712970.44,27675.78,10583540.19,2214.06,7836.67,0.00,0.00,2214.06,2214.06,-5622.61,3.5395
Avignon,1394-07,19,227500.96,1639017.41,-1411516.45,-13106829.88,64812.79,13049.96,629393.10,40400.25,11172533.04,5943.56,11637.97,116344.36,19670.69,5943.56,145378.86,133740.89,0.0801
Avignon,1394-08,12,149485.32,232175.57,-82690.25,-13189520.13,0.00,0.00,182493.06,56006.24,11299019.86,5600.62,19534.58,87878.46,0.00,5600.62,93866.10,74331.52,0.2081
Avignon,1394-09,10,680621.41,366853.62,313767.79,-12875752.34,427840.60,0.00,353190.33,116048.61,11536161.58,19604.29,0.00,117127.91,0.00,19604.29,136883.62,136883.62,0.0000
Avignon,1394-10,17,517807.80,2428119.63,-1910311.83,-14786064.17,0.00,7084.71,2217160.51,255087.66,13498234.43,49910.26,960.34,212809.88,0.00,49910.26,265763.85,264803.51,0.0036
Avignon,1394-11,13,327248.16,946130.26,-618882.10,-15404946.27,958.88,0.00,820794.55,76061.89,14242967.09,9127.43,34391.44,241099.96,0.00,9127.43,250583.95,216192.51,0.1372
Avignon,1394-12,13,68152.11,121221.92,-53069.81,-15458016.08,2497.85,13068.81,87907.82,26905.72,14303969.19,4843.03,3423.69,33905.51,0.00,4843.03,38758.12,35334.43,0.0883
Avignon,1395-01,11,556030.61,103914.94,452115.67,-15005900.41,0.00,0.00,33843.34,434973.56,13902838.97,77930.12,16174.15,43126.93,0.00,77930.12,121865.51,105691.36,0.1327
Avignon,1395-02,13,306447.83,1339392.60,-1032944.77,-16038845.18,0.00,0.00,1320168.72,237305.29,14985702.40,27143.07,9159.91,41999.47,0.00,27143.07,69293.50,60133.59,0.1322
Avignon,1395-03,11,265592.02,18308.60,247283.42,-15791561.76,0.00,0.00,1229.28,180718.39,14806213.29,34719.77,2996.39,50153.86,0.00,34719.77,85084.87,82088.48,0.0352
Avignon,1395-04,8,96681.73,254462.64,-157780.91,-15949342.67,0.00,0.00,240023.14,0.00,15046236.43,0.00,315.03,96681.73,314.39,0.00,97009.84,96694.81,0.0032
Avignon,1395-05,10,138382.33,186462.41,-48080.08,-15997422.75,16342.30,0.00,184865.94,55419.88,15175682.49,5272.33,1596.47,61347.82,0.00,5272.33,66620.15,65023.68,0.0240
Avignon,1395-06,18,482169.49,969441.03,-487271.54,-16484694.29,4033.02,0.00,814607.52,425934.64,15564355.37,52201.83,3238.67,0.00,0.00,52201.83,53352.18,50113.51,0.0607
Avignon,1395-07,13,575114.83,583884.82,-8769.99,-16493464.28,450766.78,0.00,553111.28,9373.19,16108093.46,2343.30,2605.91,112631.56,0.00,2343.30,115397.37,112791.46,0.0226
Avignon,1395-08,12,2086.09,5520860.88,-5518774.79,-22012239.07,0.00,0.00,5063191.48,1696.01,21169588.93,390.08,17074.75,0.00,5250.86,390.08,7984.97,-9089.78,2.1384
Avignon,1395-09,18,605411.54,295766.63,309644.91,-21702594.16,0.00,0.00,49028.25,385589.47,20833027.71,51993.59,7507.44,167828.48,2071.77,51993.59,224176.57,216669.13,0.0335
Avignon,1395-10,14,39086.37,311713.73,-272627.36,-21975221.52,2154.29,4875.31,245448.14,0.00,21078475.85,0.00,4926.86,36932.08,327.65,0.00,37701.04,32774.18,0.1307
Avignon,1395-11,14,81523.68,1454736.02,-1373212.34,-23348433.86,0.00,0.00,1258275.17,50043.21,22286707.81,5932.24,36722.08,25548.23,0.00,5932.24,33876.55,-2845.53,1.0840
Avignon,1395-12,15,279255.32,302763.03,-23507.71,-23371941.57,0.00,0.00,29387.39,235468.27,22080626.93,29410.93,36669.85,14376.12,0.00,29410.93,45442.12,8772.27,0.8070
Avignon,1396-01,17,293117.58,925110.35,-631992.77,-24003934.34,0.00,0.00,779774.48,253891.66,22606509.75,39225.92,14439.95,0.00,221.69,39225.92,41285.63,26845.68,0.3498
Avignon,1396-02,14,256263.08,265890.10,-9627.02,-24013561.36,0.00,0.00,220526.21,127643.88,22699392.08,21680.64,1583.50,106938.56,0.00,21680.64,129275.91,127692.41,0.0122
Avignon,1396-03,9,32745.26,143263.31,-110518.05,-24124079.41,0.00,0.00,127416.73,8117.39,22818691.42,1055.26,13552.09,23572.61,0.00,1055.26,24645.40,11093.31,0.5499
Avignon,1396-04,12,29725.62,2173146.95,-2143421.33,-26267500.74,0.00,0.00,2136336.04,0.00,24955027.46,0.00,16107.28,29725.62,0.00,0.00,30036.17,13928.89,0.5363
Avignon,1396-05,14,20180.39,478336.23,-458155.84,-26725656.58,0.00,0.00,64917.10,0.00,25019944.56,0.00,19678.64,20180.39,2942.76,0.00,26022.38,6343.74,0.7562
Avignon,1396-06,11,217440.38,392523.81,-175083.43,-26900740.01,0.00,0.00,294842.19,101416.44,25213370.31,19639.39,7759.23,96384.55,0.00,19639.39,116998.44,109239.21,0.0663
Avignon,1396-07,13,227158.17,404940.21,-177782.04,-27078522.05,0.00,0.00,329266.81,145529.30,25397107.82,17794.56,1533.02,63834.31,0.00,17794.56,82740.98,81207.96,0.0185
Avignon,1396-08,17,114912.58,680598.32,-565685.74,-27644207.79,0.00,11530.51,291560.73,52233.39,25636435.16,6328.62,1534.61,56350.57,5242.28,6328.62,69629.35,68094.74,0.0220
Avignon,1396-09,10,296089.53,697699.44,-401609.91,-28045817.70,0.00,292308.62,394618.57,172318.05,25858735.68,26071.76,7339.98,97699.72,0.00,26071.76,123771.48,116431.50,0.0593
Avignon,1396-10,10,113899.31,737880.25,-623980.94,-28669798.64,0.00,0.00,730317.30,90932.50,26498120.48,11733.17,7562.95,11233.64,0.00,11733.17,22966.81,15403.86,0.3293
Avignon,1396-11,20,70956.20,1305808.21,-1234852.01,-29904650.65,0.00,0.00,1100269.53,15100.35,27583289.66,2718.06,35361.29,53137.79,1636.82,2718.06,57844.48,22483.19,0.6113
Avignon,1396-12,15,122839.84,366612.51,-243772.67,-30148423.32,71524.85,0.00,59000.18,0.00,27642289.84,0.00,0.00,51314.99,0.00,0.00,55319.86,55319.86,0.0000
Avignon,1397-01,18,571748.39,1062711.34,-490962.95,-30639386.27,0.00,21035.20,710935.66,307806.94,28045418.56,37028.15,7756.80,226913.30,3235.55,37028.15,270336.58,262579.78,0.0287
Avignon,1397-02,14,735208.19,282806.50,452401.69,-30186984.58,0.00,0.00,181562.47,431813.18,27795167.85,36936.81,7032.64,266458.20,317.42,36936.81,304810.38,297777.74,0.0231
Avignon,1397-03,13,324740.83,306414.29,18326.54,-30168658.04,0.00,0.00,187582.64,96460.71,27886289.78,18237.82,309.69,210042.30,353.94,18237.82,230118.57,229808.88,0.0013
Avignon,1397-04,15,83111.07,679017.13,-595906.06,-30764564.10,40451.96,0.00,619723.07,13591.02,28492421.83,1630.92,20977.42,27437.17,0.00,1630.92,29068.09,8090.67,0.7217
Avignon,1397-05,11,28752.71,622372.99,-593620.28,-31358184.38,0.00,114391.17,233459.58,25002.36,28700879.05,3750.35,11038.87,0.00,5620.68,3750.35,9576.16,-1462.71,1.1527
Avignon,1397-06,11,142951.59,436600.87,-293649.28,-31651833.66,0.00,0.00,227385.86,127635.34,28800629.57,15316.25,2244.52,0.00,2586.61,15316.25,18969.97,16725.45,0.1183
Avignon,1397-07,12,500755.93,1319265.73,-818509.80,-32470343.46,0.00,0.00,591817.86,349163.78,29043283.65,34916.38,1842.61,116675.77,8843.48,34916.38,162416.87,160574.26,0.0113
Avignon,1397-08,11,39039.16,62447.55,-23408.39,-32493751.85,0.00,0.00,8359.66,0.00,29051643.31,0.00,19226.30,39039.16,0.00,0.00,39270.57,20044.27,0.4896
Avignon,1397-09,17,346149.88,282167.89,63981.99,-32429769.86,0.00,6534.36,141094.15,197160.98,28995576.48,18209.97,5365.26,130778.93,723.59,18209.97,150155.17,144789.91,0.0357
Avignon,1397-10,9,457683.80,144020.53,313663.27,-32116106.59,415664.17,0.00,48968.62,36270.84,29008274.26,5748.79,46787.92,0.00,0.00,5748.79,5778.41,-41009.51,8.0970
Avignon,1397-11,18,132976.59,730640.16,-597663.57,-32713770.16,0.00,0.00,479940.98,111786.76,29376428.48,12792.83,13579.77,8397.00,1094.52,12792.83,24597.36,11017.59,0.5521
Avignon,1397-12,9,84079.06,220051.81,-135972.75,-32849742.91,0.00,0.00,114423.75,0.00,29490852.23,0.00,15529.24,84079.06,0.00,0.00,85430.54,69901.30,0.1818
Avignon,1398-01,8,334271.27,30749.34,303521.93,-32546220.98,67295.70,0.00,0.00,240689.33,29250162.90,19421.00,273.04,6865.24,0.00,19421.00,26286.24,26013.20,0.0104
Avignon,1398-02,18,441389.42,973811.97,-532422.55,-33078643.53,12802.54,0.00,672092.22,355697.34,29566557.78,72889.54,5656.29,0.00,1247.49,72889.54,77338.76,71682.47,0.0731
Avignon,1398-03,17,204406.73,913666.71,-709259.98,-33787903.51,0.00,0.00,749227.24,38159.22,30277625.80,6119.80,19372.54,160127.71,0.00,6119.80,168423.52,149050.98,0.1150
Avignon,1398-04,12,286838.25,1205208.74,-918370.49,-34706274.00,0.00,0.00,1131423.84,7847.11,31401202.53,1961.78,4848.13,277029.36,137.03,1961.78,279514.47,274666.34,0.0173
Avignon,1398-05,8,10424.95,36212.97,-25788.02,-34732062.02,0.00,0.00,9901.15,7580.78,31403522.90,1667.77,6253.25,1176.40,0.00,1667.77,3014.03,-3239.22,2.0747
Avignon,1398-06,13,386033.63,389525.11,-3491.48,-34735553.50,10913.84,0.00,264524.92,326191.12,31341856.70,48928.67,12135.01,0.00,0.00,48928.67,50263.44,38128.43,0.2414
Avignon,1398-07,13,273206.02,803657.93,-530451.91,-35266005.41,0.00,122504.92,625551.94,220500.88,31746907.76,22714.62,1180.22,29990.52,496.22,22714.62,53201.36,52021.14,0.0222
Avignon,1398-08,4,73753.48,102089.86,-28336.38,-35294341.79,0.00,0.00,63353.50,68290.26,31741971.00,5463.22,288.36,0.00,0.00,5463.22,6039.94,5751.58,0.0477
Avignon,1398-09,7,77875.96,53568.09,24307.87,-35270033.92,11207.27,0.00,49157.86,40095.23,31751033.63,7170.22,1974.22,19403.24,0.00,7170.22,26573.46,24599.24,0.0743
Avignon,1398-10,16,93230.37,117311.58,-24081.21,-35294115.13,0.00,0.00,22085.88,20868.73,31752250.78,4591.12,20958.18,67770.52,0.00,4591.12,73363.19,52405.01,0.2857
Avignon,1398-11,11,139466.18,333272.91,-193806.73,-35487921.86,0.00,58832.17,162204.66,85832.82,31828622.62,8939.07,215.48,44694.29,2028.48,8939.07,55820.15,55604.67,0.0039
Avignon,1398-12,25,360690.76,649630.95,-288940.19,-35776862.05,42873.92,30284.78,464630.57,244446.60,32048806.59,38931.79,1376.42,34438.45,0.00,38931.79,75520.25,74143.83,0.0182
Avignon,1399-01,12,279745.26,1141635.83,-861890.57,-36638752.62,0.00,27556.52,1091428.47,36639.09,33103595.97,6595.04,10419.98,236511.13,0.00,6595.04,243106.17,232686.19,0.0429
Avignon,1399-02,15,8600.60,801018.73,-792418.13,-37431170.75,0.00,20714.53,728060.68,0.00,33831656.65,0.00,18202.80,8600.60,114.42,0.00,8955.98,-9246.82,2.0325
Avignon,1399-03,7,86840.01,206485.55,-119645.54,-37550816.29,0.00,0.00,0.00,18201.88,33813454.77,1820.19,22880.74,66817.94,97.54,1820.19,71395.35,48514.61,0.3205
Avignon,1399-04,9,47929.44,105711.74,-57782.30,-37608598.59,11709.55,0.00,24981.38,18369.11,33820067.04,4041.20,1621.67,13809.58,0.00,4041.20,18617.74,16996.07,0.0871
Avignon,1399-05,10,613482.95,84987.44,528495.51,-37080103.08,0.00,0.00,14517.53,536059.71,33298524.86,76322.75,3379.67,1100.49,0.00,76322.75,78429.59,75049.92,0.0431
Avignon,1399-06,14,352473.47,1281346.32,-928872.85,-38008975.93,0.00,0.00,786878.99,93315.80,33992088.05,9537.42,10504.00,249620.25,8448.27,9537.42,270245.97,259741.97,0.0389
Avignon,1399-07,11,114945.10,1297173.74,-1182228.64,-39191204.57,0.00,70247.96,1176362.16,0.00,35168450.21,0.00,3846.47,114945.10,808.58,0.00,115991.51,112145.04,0.0332
Avignon,1399-08,12,249507.58,299977.59,-50470.01,-39241674.58,0.00,102110.52,0.00,221506.69,34946943.52,26580.80,9032.40,1420.09,0.00,26580.80,30744.47,21712.07,0.2938
Avignon,1399-09,16,346332.98,1189458.01,-843125.03,-40084799.61,0.00,10131.56,1124422.46,209063.95,35862302.03,33328.38,322.51,103940.65,95.75,33328.38,137643.28,137320.77,0.0023
Avignon,1399-10,13,309916.12,98186.04,211730.08,-39873069.53,101985.54,0.00,90334.35,134905.24,35817731.14,15352.24,372.17,57673.10,0.00,15352.24,73025.34,72653.17,0.0051
Avignon,1399-11,12,388283.49,890055.54,-501772.05,-40374841.58,0.00,0.00,674302.91,258053.79,36233980.26,24361.49,1006.95,105868.21,1380.88,24361.49,131858.50,130851.55,0.0076
Avignon,1399-12,15,44026.01,1339176.46,-1295150.45,-41669992.03,0.00,0.00,122291.00,30843.06,36325428.20,4626.46,12272.71,8556.49,17984.62,4626.46,32855.08,20582.37,0.3735
Avignon,1400-01,12,158828.84,273316.95,-114488.11,-41784480.14,0.00,125705.31,51088.18,108869.65,36267646.73,23951.32,4419.71,26007.87,1134.99,23951.32,51325.25,46905.54,0.0861
Avignon,1400-02,12,145542.82,491149.72,-345606.90,-42130087.04,0.00,104322.08,286901.32,39236.06,36515311.99,8124.33,425.02,98182.43,0.00,8124.33,107471.68,107046.66,0.0040
Avignon,1400-03,11,401327.98,727824.78,-326496.80,-42456583.84,0.00,0.00,663553.73,207865.69,36971000.03,20460.23,6949.11,173002.06,0.00,20460.23,194245.80,187296.69,0.0358
Avignon,1400-04,7,30899.64,121384.10,-90484.46,-42547068.30,0.00,0.00,0.00,20629.07,36950370.96,3919.52,7818.29,6351.05,123.79,3919.52,11991.74,4173.45,0.6520
Avignon,1400-05,12,157660.19,1424853.53,-1267193.34,-43814261.64,0.00,0.00,829486.11,141626.20,37638230.87,16033.99,2958.51,0.00,10955.83,16033.99,30021.76,27063.25,0.0985
Avignon,1400-06,6,91712.93,10431.79,81281.14,-43732980.50,0.00,0.00,0.00,18872.97,37619357.90,2830.95,3167.82,70009.01,0.00,2830.95,72839.96,69672.14,0.0435
Avignon,1400-07,16,732917.13,1384082.51,-651165.38,-44384145.88,661902.27,191740.95,1045060.59,12548.35,38651870.14,1868.45,86288.54,56598.06,0.00,1868.45,59381.39,-26907.15,1.4531
Avignon,1400-08,11,160817.72,123773.08,37044.64,-44347101.24,0.00,0.00,45147.83,10363.28,38686654.69,1865.39,3251.67,148589.05,0.00,1865.39,151407.19,148155.52,0.0215
Avignon,1400-09,17,210389.26,1107433.73,-897044.47,-45244145.71,10153.52,0.00,1060287.05,122145.53,39624796.21,18321.83,4562.92,59768.38,0.00,18321.83,78498.44,73935.52,0.0581
Avignon,1400-10,13,211191.44,409840.11,-198648.67,-45442794.38,0.00,0.00,194546.29,59068.14,39760274.36,7952.25,937.57,144171.05,2961.96,7952.25,155949.84,155012.27,0.0060
Avignon,1400-11,11,104618.54,517020.81,-412402.27,-45855196.65,0.00,0.00,300059.38,18952.97,40041380.77,1895.30,3100.05,83770.27,0.00,1895.30,88873.50,85773.45,0.0349
Avignon,1400-12,5,0.00,327366.70,-327366.70,-46182563.35,0.00,0.00,288321.87,0.00,40329702.64,0.00,2055.88,0.00,0.00,0.00,187.12,-1868.76,10.9870
Avignon,1401-01,12,266561.74,375686.26,-109124.52,-46291687.87,243804.47,5424.76,143690.81,20397.58,40452995.87,2359.69,4550.32,0.00,0.00,2359.69,5690.00,1139.68,0.7997
Avignon,1401-02,10,78369.07,498377.20,-420008.13,-46711696.00,0.00,0.00,0.00,21567.26,40431428.61,2486.66,13036.10,54315.15,11498.77,2486.66,68681.43,55645.33,0.1898
Avignon,1401-03,11,74161.49,182136.05,-107974.56,-46819670.56,0.00,0.00,30663.02,0.00,40462091.63,0.00,34348.75,74161.49,0.00,0.00,75918.35,41569.60,0.4524
Avignon,1401-04,10,106446.81,551003.98,-444557.17,-47264227.73,30377.42,0.00,512501.81,30719.34,40943874.10,3686.32,3482.98,41663.73,696.88,3686.32,46046.93,42563.95,0.0756
Avignon,1401-05,12,100652.22,187691.51,-87039.29,-47351267.02,4994.42,0.00,163653.99,86154.86,41021373.23,9502.94,11328.40,0.00,0.00,9502.94,9502.94,-1825.46,1.1921
Avignon,1401-06,12,173169.48,1691337.21,-1518167.73,-48869434.75,0.00,0.00,1395705.17,19741.77,42397336.63,3553.52,67983.15,149874.19,1354.43,3553.52,156660.49,88677.34,0.4340
Avignon,1401-07,16,396556.16,720177.94,-323621.78,-49193056.53,0.00,0.00,576297.87,150384.41,42823250.09,17616.88,560.39,228554.87,0.00,17616.88,247315.22,246754.83,0.0023
Avignon,1401-08,12,123835.17,129397.62,-5562.45,-49198618.98,14459.44,28233.73,0.00,69876.26,42753373.83,9598.88,0.00,29900.59,299.11,9598.88,40118.93,40118.93,0.0000
