branch,counterparty,first_issued_date,last_activity_date,estimated_due_date,total_issued,total_repaid,outstanding_balance,status
Florence,Grain Merchant,1395-10-08,1438-01-02,1396-10-07,1625673.26,981638.55,644034.71,OPEN
Florence,King of Naples,1402-03-16,1439-10-07,1403-03-16,2508434.64,580997.02,1927437.62,OPEN
Florence,Kingdom of Naples,1390-05-05,1440-10-19,1391-05-05,16571645.52,3932710.75,12638934.77,OPEN
Florence,Levant Spice Traders,1390-06-30,1440-10-27,1391-06-30,11930607.09,5619921.92,6310685.17,OPEN
Florence,Lombard Metals Exchange,1390-02-28,1440-11-30,1391-02-28,12860489.13,4983897.70,7876591.43,OPEN
Florence,Lord,1390-04-12,1423-08-30,1391-04-12,762874.43,228803.63,534070.80,OPEN
Florence,Marquis,1396-06-21,1436-08-31,1397-06-21,569488.85,390551.40,178937.45,OPEN
Florence,Marquis of Mantua,1390-08-08,1440-08-09,1391-08-08,11231574.79,6137953.52,5093621.27,OPEN
Florence,Mediterranean Shipping Company,1390-01-01,1440-09-18,1391-01-01,13927657.54,6393391.67,7534265.87,OPEN
Florence,Republic of Florence,1390-04-04,1440-06-26,1391-04-04,11980825.56,5189586.81,6791238.75,OPEN
Florence,Silk Consortium,1393-04-22,1440-09-07,1394-04-22,13721996.22,3183455.27,10538540.95,OPEN
Florence,Silk Trader,1391-09-28,1439-12-24,1392-09-27,681378.28,274281.63,407096.65,OPEN
Florence,Spice Merchant,1390-01-25,1440-11-03,1391-01-25,1393230.44,1339452.24,53778.20,OPEN
Florence,Trading Company,1395-02-23,1440-12-30,1396-02-23,765991.28,712734.91,53256.37,OPEN
Florence,Tuscan Wine Carriers,1390-09-11,1440-11-15,1391-09-11,7538227.15,4348259.97,3189967.18,OPEN
Florence,Venetian Grain Brokers,1390-05-07,1440-12-30,1391-05-07,13711520.18,6571696.23,7139823.95,OPEN
Florence,Wine Trader,1399-06-02,1440-02-16,1400-06-02,548603.94,102004.34,446599.60,OPEN
Florence,Wool Guild Syndicate,1390-12-15,1440-10-17,1391-12-15,11658804.31,5251512.02,6407292.29,OPEN
Florence,Wool Merchant,1397-02-04,1438-09-07,1398-02-04,371871.16,348059.79,23811.37,OPEN
Geneva,Archbishop,1390-10-05,1431-04-14,1391-10-05,6791223.04,179981.91,6611241.13,OPEN
Geneva,Banking House,1391-01-07,1440-05-06,1392-01-07,845585.50,80560.38,765025.12,OPEN
Geneva,Baron,1390-10-03,1438-08-06,1391-10-03,3004177.47,697858.46,2306319.01,OPEN
Geneva,Cardinal,1390-02-07,1437-09-04,1391-02-07,11881867.37,128228.16,11753639.21,OPEN
Geneva,Cloth Merchant,1390-01-27,1440-04-16,1391-01-27,1351830.96,659972.53,691858.43,OPEN
Geneva,Count of Urbino,1390-01-09,1440-06-19,1391-01-09,13244480.57,4303883.69,8940596.88,OPEN
Geneva,Doge of Venice,1390-04-23,1439-12-29,1391-04-23,17777588.93,4685785.07,13091803.86,OPEN
Geneva,Duke of Milan,1391-11-29,1440-09-27,1392-11-28,12333498.97,5924775.44,6408723.53,OPEN
Geneva,Flemish Cloth House,1391-10-04,1440-11-16,1392-10-03,9988110.47,3825179.11,6162931.36,OPEN
Geneva,Jewel Trader,1400-02-26,1438-05-15,1401-02-26,852795.93,331943.76,520852.17,OPEN
Geneva,King of Naples,1390-11-13,1439-11-03,1391-11-13,3667938.69,548933.71,3119004.98,OPEN
Geneva,Kingdom of Naples,1390-01-30,1440-12-17,1391-01-30,13145165.42,3048587.04,10096578.38,OPEN
Geneva,Levant Spice Traders,1391-08-23,1440-11-29,1392-08-22,14825010.46,7557891.05,7267119.41,OPEN
Geneva,Lombard Metals Exchange,1391-01-11,1440-07-05,1392-01-11,15467273.43,3460596.66,12006676.77,OPEN
Geneva,Lord,1390-06-03,1438-04-24,1391-06-03,4484085.37,281130.21,4202955.16,OPEN
Geneva,Marquis,1395-12-20,1440-11-30,1396-12-19,3280543.31,299993.59,2980549.72,OPEN
Geneva,Marquis of Mantua,1390-03-27,1440-10-25,1391-03-27,9834925.30,5397790.45,4437134.85,OPEN
Geneva,Mediterranean Shipping Company,1393-01-04,1440-12-01,1394-01-04,15554355.92,4659195.77,10895160.15,OPEN
Geneva,Republic of Florence,1390-12-11,1440-11-16,1391-12-11,20510702.93,4055350.47,16455352.46,OPEN
Geneva,Silk Consortium,1390-07-19,1440-07-31,1391-07-19,12856913.59,4997241.95,7859671.64,OPEN
Geneva,Silk Trader,1399-02-26,1438-06-19,1400-02-26,1469460.98,269368.51,1200092.47,OPEN
Geneva,Textile Merchant,1392-03-26,1437-12-03,1393-03-26,1774100.26,1739017.29,35082.97,OPEN
Geneva,Tuscan Wine Carriers,1391-11-24,1440-07-05,1392-11-23,12982359.50,4282082.39,8700277.11,OPEN
Geneva,Venetian Grain Brokers,1390-06-05,1440-03-19,1391-06-05,14987737.27,4211186.41,10776550.86,OPEN
Geneva,Wool Guild Syndicate,1390-08-19,1440-12-01,1391-08-19,16352828.10,7417399.30,8935428.80,OPEN
London,Archbishop,1396-08-03,1437-08-16,1397-08-03,1860824.03,29489.33,1831334.70,OPEN
London,Armor Smith,1390-02-13,1440-08-21,1391-02-13,1047091.79,137131.77,909960.02,OPEN
London,Baron,1391-01-10,1439-05-14,1392-01-10,3414690.39,632521.38,2782169.01,OPEN
London,Cardinal,1409-11-11,1431-12-30,1410-11-11,672587.92,58611.81,613976.11,OPEN
London,Count of Urbino,1391-07-13,1439-08-09,1392-07-12,14143352.53,6296203.75,7847148.78,OPEN
London,Doge of Venice,1390-01-06,1440-12-26,1391-01-06,21240281.40,4895364.87,16344916.53,OPEN
London,Duke of Milan,1390-01-12,1440-11-10,1391-01-12,18361554.12,4668743.77,13692810.35,OPEN
London,Flemish Cloth House,1391-01-20,1440-10-24,1392-01-20,20817775.95,3732958.24,17084817.71,OPEN
London,King of Naples,1393-07-22,1440-02-09,1394-07-22,3977791.46,1026383.14,2951408.32,OPEN
London,Kingdom of Naples,1390-01-26,1440-04-29,1391-01-26,13317979.37,5522325.41,7795653.96,OPEN
London,Levant Spice Traders,1390-08-28,1440-09-22,1391-08-28,16632549.19,5376315.65,11256233.54,OPEN
London,Lombard Metals Exchange,1390-03-01,1440-01-28,1391-03-01,16924556.95,3526083.68,13398473.27,OPEN
London,Lord,1406-07-21,1440-03-21,1407-07-21,7342668.01,636802.80,6705865.21,OPEN
London,Marquis,1404-08-24,1440-08-30,1405-08-24,4066699.04,1052305.09,3014393.95,OPEN
London,Marquis of Mantua,1390-12-22,1440-05-16,1391-12-22,11478211.33,5766678.04,5711533.29,OPEN
London,Mediterranean Shipping Company,1390-09-09,1440-09-25,1391-09-09,12043811.57,4707153.25,7336658.32,OPEN
London,Republic of Florence,1390-03-04,1440-02-17,1391-03-04,14171229.56,4418924.21,9752305.35,OPEN
London,Silk Consortium,1390-01-12,1440-07-05,1391-01-12,16690839.78,5616707.76,11074132.02,OPEN
London,Silk Trader,1391-12-28,1440-11-22,1392-12-27,746804.83,712975.71,33829.12,OPEN
London,Trading Company,1395-02-12,1440-08-09,1396-02-12,1206719.72,615219.62,591500.10,OPEN
London,Tuscan Wine Carriers,1391-01-14,1440-12-06,1392-01-14,10765678.92,4636693.92,6128985.00,OPEN
London,Venetian Grain Brokers,1392-06-30,1440-05-02,1393-06-30,12226343.21,5223830.74,7002512.47,OPEN
London,Wine Trader,1390-09-15,1440-08-24,1391-09-15,993422.88,730053.51,263369.37,OPEN
London,Wool Guild Syndicate,1390-01-06,1440-12-18,1391-01-06,16254008.62,4871803.55,11382205.07,OPEN
Milan,Archbishop,1394-06-28,1439-05-20,1395-06-28,8306778.59,453651.63,7853126.96,OPEN
Milan,Armor Smith,1392-10-15,1438-06-26,1393-10-15,913538.76,882291.49,31247.27,OPEN
Milan,Banking House,1392-02-15,1440-12-11,1393-02-14,1847458.89,654251.64,1193207.25,OPEN
Milan,Baron,1390-11-05,1437-07-04,1391-11-05,1839927.04,111565.21,1728361.83,OPEN
Milan,Cardinal,1395-08-13,1439-03-24,1396-08-12,6285006.89,715789.70,5569217.19,OPEN
Milan,Cloth Merchant,1399-02-11,1440-08-27,1400-02-11,1088035.64,454424.31,633611.33,OPEN
Milan,Count of Urbino,1390-03-20,1440-03-29,1391-03-20,22357951.84,4799969.39,17557982.45,OPEN
Milan,Doge of Venice,1390-01-01,1440-05-27,1391-01-01,14618429.88,5134230.60,9484199.28,OPEN
Milan,Duke of Milan,1390-09-17,1440-08-27,1391-09-17,15354961.74,4983511.79,10371449.95,OPEN
Milan,Flemish Cloth House,1390-07-03,1440-05-28,1391-07-03,17773740.08,5552259.64,12221480.44,OPEN
Milan,Gold Merchant,1396-07-12,1440-03-21,1397-07-12,1161259.42,166390.84,994868.58,OPEN
Milan,Jewel Trader,1393-02-15,1440-10-01,1394-02-15,767510.88,562809.09,204701.79,OPEN
Milan,King of Naples,1400-06-05,1439-12-31,1401-06-05,4541953.55,1062747.64,3479205.91,OPEN
Milan,Kingdom of Naples,1390-01-24,1440-10-09,1391-01-24,13320911.64,6059132.49,7261779.15,OPEN
Milan,Levant Spice Traders,1390-06-16,1440-09-12,1391-06-16,15239295.92,6524295.93,8714999.99,OPEN
Milan,Lombard Metals Exchange,1390-01-17,1440-10-03,1391-01-17,17274016.97,4323330.77,12950686.20,OPEN
Milan,Lord,1393-08-03,1436-08-05,1394-08-03,3027106.84,164970.06,2862136.78,OPEN
Milan,Marquis,1390-04-29,1440-11-27,1391-04-29,2601169.56,766671.92,1834497.64,OPEN
Milan,Marquis of Mantua,1390-10-24,1440-08-01,1391-10-24,15032761.29,3612477.46,11420283.83,OPEN
Milan,Mediterranean Shipping Company,1390-11-25,1440-12-01,1391-11-25,9695694.70,5656818.34,4038876.36,OPEN
Milan,Republic of Florence,1390-08-25,1440-02-17,1391-08-25,15087566.51,4456910.85,10630655.66,OPEN
Milan,Silk Consortium,1390-09-01,1440-12-28,1391-09-01,13061557.85,4912095.92,8149461.93,OPEN
Milan,Spice Merchant,1391-02-12,1437-01-30,1392-02-12,1057577.50,301233.55,756343.95,OPEN
Milan,Textile Merchant,1390-08-09,1438-04-10,1391-08-09,1310918.76,462748.40,848170.36,OPEN
Milan,Tuscan Wine Carriers,1390-01-08,1440-07-25,1391-01-08,16806730.70,4102078.76,12704651.94,OPEN
Milan,Venetian Grain Brokers,1390-05-16,1440-11-16,1391-05-16,13651423.97,6072665.51,7578758.46,OPEN
Milan,Wool Guild Syndicate,1390-12-16,1440-10-09,1391-12-16,10286855.09,4910044.14,5376810.95,OPEN
Naples,Count of Urbino,1391-09-02,1440-12-11,1392-09-01,14528494.04,4729779.07,9798714.97,OPEN
Naples,Doge of Venice,1390-03-11,1440-07-30,1391-03-11,18381709.54,5263189.11,13118520.43,OPEN
Naples,Duke of Milan,1390-04-28,1440-02-16,1391-04-28,13276195.50,7386046.24,5890149.26,OPEN
Naples,Flemish Cloth House,1390-08-15,1440-11-22,1391-08-15,13257659.57,5817225.70,7440433.87,OPEN
Naples,Kingdom of Naples,1390-01-01,1440-08-12,1391-01-01,12977549.83,5023279.54,7954270.29,OPEN
Naples,Levant Spice Traders,1390-02-05,1440-10-19,1391-02-05,15482741.22,6302455.15,9180286.07,OPEN
Naples,Lombard Metals Exchange,1390-06-13,1440-11-24,1391-06-13,16956881.62,6497619.93,10459261.69,OPEN
Naples,Marquis of Mantua,1390-05-20,1440-04-07,1391-05-20,16800366.01,4705498.73,12094867.28,OPEN
Naples,Mediterranean Shipping Company,1390-06-11,1440-12-20,1391-06-11,11568647.56,4135731.13,7432916.43,OPEN
Naples,Republic of Florence,1390-01-12,1440-07-09,1391-01-12,11538691.87,6502586.62,5036105.25,OPEN
Naples,Silk Consortium,1391-04-28,1440-10-14,1392-04-27,14262222.52,5197908.58,9064313.94,OPEN
Naples,Tuscan Wine Carriers,1390-06-21,1440-12-12,1391-06-21,14105473.96,5938764.06,8166709.90,OPEN
Naples,Venetian Grain Brokers,1391-03-20,1440-07-26,1392-03-19,15144005.51,5050419.08,10093586.43,OPEN
Naples,Wool Guild Syndicate,1390-06-06,1440-07-10,1391-06-06,15469413.91,6377529.84,9091884.07,OPEN
Pisa,Count of Urbino,1390-06-10,1440-08-16,1391-06-10,13136874.46,7318148.54,5818725.92,OPEN
Pisa,Doge of Venice,1390-06-26,1440-11-15,1391-06-26,17944637.57,5533379.21,12411258.36,OPEN
Pisa,Duke of Milan,1390-07-11,1440-07-08,1391-07-11,16844987.56,5625207.65,11219779.91,OPEN
Pisa,Flemish Cloth House,1397-12-11,1440-09-13,1398-12-11,11743080.37,4024318.94,7718761.43,OPEN
Pisa,Kingdom of Naples,1390-02-16,1440-08-14,1391-02-16,11217606.16,3589033.86,7628572.30,OPEN
Pisa,Levant Spice Traders,1390-01-16,1440-10-30,1391-01-16,17561366.61,3391377.92,14169988.69,OPEN
Pisa,Lombard Metals Exchange,1390-02-25,1440-11-06,1391-02-25,16122861.20,4906802.01,11216059.19,OPEN
Pisa,Marquis of Mantua,1390-01-23,1440-03-03,1391-01-23,13939355.03,6129887.69,7809467.34,OPEN
Pisa,Mediterranean Shipping Company,1392-12-03,1440-12-07,1393-12-03,13654623.01,3431373.92,10223249.09,OPEN
Pisa,Republic of Florence,1390-10-04,1440-10-05,1391-10-04,14182278.08,4319704.69,9862573.39,OPEN
Pisa,Silk Consortium,1391-06-21,1440-09-02,1392-06-20,13817388.29,5487605.87,8329782.42,OPEN
Pisa,Tuscan Wine Carriers,1390-06-02,1440-12-24,1391-06-02,20578220.57,4553797.20,16024423.37,OPEN
Pisa,Venetian Grain Brokers,1390-02-27,1440-10-18,1391-02-27,16718691.80,5186475.18,11532216.62,OPEN
Pisa,Wool Guild Syndicate,1390-08-01,1440-11-30,1391-08-01,15959221.09,3327218.06,12632003.03,OPEN
Rome,Archbishop,1399-08-25,1435-06-24,1400-08-25,1441471.97,507756.66,933715.31,OPEN
Rome,Armor Smith,1406-04-06,1439-12-13,1407-04-06,435354.72,158577.18,276777.54,OPEN
Rome,Banking House,1392-10-21,1439-10-01,1393-10-21,1296540.60,681703.89,614836.71,OPEN
Rome,Baron,1398-02-26,1440-07-29,1399-02-26,5235151.29,206830.71,5028320.58,OPEN
Rome,Cardinal,1390-12-09,1437-03-06,1391-12-09,3459699.02,741692.07,2718006.95,OPEN
Rome,Count of Urbino,1390-01-02,1440-12-10,1391-01-02,18629860.35,8126478.78,10503381.57,OPEN
Rome,Doge of Venice,1391-02-24,1440-10-19,1392-02-24,22781595.41,6251362.23,16530233.18,OPEN
Rome,Duke of Milan,1391-06-09,1440-09-12,1392-06-08,13938691.62,5918243.44,8020448.18,OPEN
Rome,Flemish Cloth House,1391-04-28,1440-07-13,1392-04-27,15515375.99,4300116.73,11215259.26,OPEN
Rome,Gold Merchant,1390-06-06,1439-02-01,1391-06-06,1494848.11,389249.39,1105598.72,OPEN
Rome,Grain Merchant,1391-04-06,1439-03-23,1392-04-05,1437591.61,243359.71,1194231.90,OPEN
Rome,Jewel Trader,1391-02-03,1440-10-22,1392-02-03,1018405.21,562991.30,455413.91,OPEN
Rome,King of Naples,1395-10-23,1437-12-23,1396-10-22,4025658.74,271312.56,3754346.18,OPEN
Rome,Kingdom of Naples,1391-03-09,1440-09-18,1392-03-08,12005146.75,4108632.85,7896513.90,OPEN
Rome,Levant Spice Traders,1390-04-11,1440-11-30,1391-04-11,15373712.33,3973617.82,11400094.51,OPEN
Rome,Lombard Metals Exchange,1390-02-07,1440-11-07,1391-02-07,13537158.28,3182621.93,10354536.35,OPEN
Rome,Lord,1393-08-16,1438-12-20,1394-08-16,9708797.03,347329.23,9361467.80,OPEN
Rome,Marquis,1399-08-06,1440-04-25,1400-08-06,6567508.42,1332956.85,5234551.57,OPEN
Rome,Marquis of Mantua,1390-07-28,1440-12-11,1391-07-28,11981962.69,3832392.66,8149570.03,OPEN
Rome,Mediterranean Shipping Company,1390-03-25,1440-11-03,1391-03-25,11402022.51,5709610.59,5692411.92,OPEN
Rome,Republic of Florence,1390-01-02,1440-03-24,1391-01-02,9191333.81,3967930.21,5223403.60,OPEN
Rome,Silk Consortium,1391-07-14,1440-11-21,1392-07-13,19353601.59,5509592.95,13844008.64,OPEN
Rome,Tuscan Wine Carriers,1390-06-08,1440-12-16,1391-06-08,15770258.41,5828153.77,9942104.64,OPEN
Rome,Venetian Grain Brokers,1390-09-13,1440-10-06,1391-09-13,12453595.51,5725660.26,6727935.25,OPEN
Rome,Wool Guild Syndicate,1393-04-28,1440-09-04,1394-04-28,19579272.80,4750692.35,14828580.45,OPEN
Venice,Archbishop,1390-09-09,1440-06-17,1391-09-09,4610410.89,276565.38,4333845.51,OPEN
Venice,Banking House,1393-05-22,1440-07-11,1394-05-22,1134104.04,951855.06,182248.98,OPEN
Venice,Baron,1390-12-08,1439-09-03,1391-12-08,5280658.94,998217.99,4282440.95,OPEN
Venice,Cardinal,1404-05-10,1437-08-28,1405-05-10,4229545.09,307994.19,3921550.90,OPEN
Venice,Cloth Merchant,1390-02-12,1436-11-18,1391-02-12,1718634.02,795691.54,922942.48,OPEN
Venice,Count of Urbino,1390-05-13,1440-10-20,1391-05-13,25063688.37,7239009.27,17824679.10,OPEN
Venice,Doge of Venice,1390-05-29,1440-11-29,1391-05-29,17993237.01,4824256.35,13168980.66,OPEN
Venice,Duke of Milan,1390-07-16,1440-12-10,1391-07-16,16114132.87,3623543.91,12490588.96,OPEN
Venice,Flemish Cloth House,1391-12-02,1440-02-17,1392-12-01,10290207.02,7892336.60,2397870.42,OPEN
Venice,King of Naples,1390-03-02,1440-10-02,1391-03-02,2045045.39,316868.92,1728176.47,OPEN
Venice,Kingdom of Naples,1390-05-29,1440-08-12,1391-05-29,13485562.03,6092774.70,7392787.33,OPEN
Venice,Levant Spice Traders,1390-03-05,1440-09-01,1391-03-05,13682946.43,5918107.86,7764838.57,OPEN
Venice,Lombard Metals Exchange,1390-09-09,1439-04-09,1391-09-09,14004303.89,5906040.44,8098263.45,OPEN
Venice,Lord,1398-01-30,1435-11-29,1399-01-30,2734364.66,180038.68,2554325.98,OPEN
Venice,Marquis,1390-05-03,1440-09-28,1391-05-03,6587558.59,344984.18,6242574.41,OPEN
Venice,Marquis of Mantua,1390-10-14,1440-07-16,1391-10-14,12730309.16,5428419.34,7301889.82,OPEN
Venice,Mediterranean Shipping Company,1390-11-01,1440-10-03,1391-11-01,13431074.67,5062486.31,8368588.36,OPEN
Venice,Republic of Florence,1390-01-06,1440-09-18,1391-01-06,14794298.56,5187953.06,9606345.50,OPEN
Venice,Silk Consortium,1392-06-22,1440-09-19,1393-06-22,12206978.82,5790870.76,6416108.06,OPEN
Venice,Spice Merchant,1390-08-30,1440-08-28,1391-08-30,1221122.54,512698.87,708423.67,OPEN
Venice,Textile Merchant,1391-08-04,1438-01-07,1392-08-03,1470605.29,783479.21,687126.08,OPEN
Venice,Tuscan Wine Carriers,1391-05-17,1440-07-21,1392-05-16,8621157.15,3723704.48,4897452.67,OPEN
Venice,Venetian Grain Brokers,1390-04-17,1440-12-18,1391-04-17,13468543.74,4799712.47,8668831.27,OPEN
Venice,Wool Guild Syndicate,1390-03-16,1440-11-14,1391-03-16,15120983.37,4991727.75,10129255.62,OPEN
Venice,Wool Merchant,1391-01-31,1439-01-06,1392-01-31,773639.33,158372.58,615266.75,OPEN
